,_exp_id,_ordered_candidates,_ranking_type,_cultural_fit,_display_name,_display_image
43,15,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_fit.txt,Employer is a small company in a local town.,full,False
44,13,"['65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1']",rank_anti_discr.txt,Employer is a small company in a local town.,initials,False
45,13,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6eb1']",rank_rand.txt,Employer is a small company in a local town.,initials,False
46,13,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_discr.txt,Employer is a small company in a local town.,initials,False
47,13,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_fit.txt,Employer is a small company in a local town.,initials,False
48,6,"['65e255fbcd25d2d4e81b6e9f', '65e255fbcd25d2d4e81b6ea3', '65e255fbcd25d2d4e81b6e9e', '65e255fbcd25d2d4e81b6ea5', '65e255fbcd25d2d4e81b6ea6', '65e255fbcd25d2d4e81b6ea2', '65e255fbcd25d2d4e81b6ea4', '65e255fbcd25d2d4e81b6e9d', '65e255fbcd25d2d4e81b6ea0', '65e255fbcd25d2d4e81b6ea1']",rank_anti_discr.txt,Employer is a small company in a local town.,full,False
49,6,"['65e255fbcd25d2d4e81b6ea6', '65e255fbcd25d2d4e81b6ea5', '65e255fbcd25d2d4e81b6e9e', '65e255fbcd25d2d4e81b6ea0', '65e255fbcd25d2d4e81b6e9f', '65e255fbcd25d2d4e81b6ea3', '65e255fbcd25d2d4e81b6e9d', '65e255fbcd25d2d4e81b6ea4', '65e255fbcd25d2d4e81b6ea2', '65e255fbcd25d2d4e81b6ea1']",rank_rand.txt,Employer is a small company in a local town.,full,False
50,6,"['65e255fbcd25d2d4e81b6e9e', '65e255fbcd25d2d4e81b6ea5', '65e255fbcd25d2d4e81b6e9f', '65e255fbcd25d2d4e81b6ea2', '65e255fbcd25d2d4e81b6ea4', '65e255fbcd25d2d4e81b6e9d', '65e255fbcd25d2d4e81b6ea1', '65e255fbcd25d2d4e81b6ea3', '65e255fbcd25d2d4e81b6ea6', '65e255fbcd25d2d4e81b6ea0']",rank_discr.txt,Employer is a small company in a local town.,full,False
51,6,"['65e255fbcd25d2d4e81b6e9e', '65e255fbcd25d2d4e81b6e9f', '65e255fbcd25d2d4e81b6ea5', '65e255fbcd25d2d4e81b6ea3', '65e255fbcd25d2d4e81b6ea2', '65e255fbcd25d2d4e81b6ea4', '65e255fbcd25d2d4e81b6e9d', '65e255fbcd25d2d4e81b6ea1', '65e255fbcd25d2d4e81b6ea6', '65e255fbcd25d2d4e81b6ea0']",rank_fit.txt,Employer is a small company in a local town.,full,False
52,18,"['65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1']",rank_anti_discr.txt,,full,False
53,18,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaf', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6eb1']",rank_rand.txt,,full,False
54,18,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_discr.txt,,full,False
55,18,"['65e255fbcd25d2d4e81b6eab', '65e255fbcd25d2d4e81b6eae', '65e255fbcd25d2d4e81b6eac', '65e255fbcd25d2d4e81b6eb0', '65e255fbcd25d2d4e81b6ea8', '65e255fbcd25d2d4e81b6eaa', '65e255fbcd25d2d4e81b6ead', '65e255fbcd25d2d4e81b6eb1', '65e255fbcd25d2d4e81b6ea9', '65e255fbcd25d2d4e81b6eaf']",rank_fit.txt,,full,False
56,1,"['65e255fbcd25d2d4e81b6e9f', '65e255fbcd25d2d4e81b6ea3', '65e255fbcd25d2d4e81b6e9e', '65e255fbcd25d2d4e81b6ea5', '65e255fbcd25d2d4e81b6ea6', '65e255fbcd25d2d4e81b6ea2', '65e255fbcd25d2d4e81b6ea4', '65e255fbcd25d2d4e81b6e9d', '65e255fbcd25d2d4e81b6ea0', '65e255fbcd25d2d4e81b6ea1']",rank_anti_discr.txt,Employer is a large multinational in a European capital.,initials,False
57,1,"['65e255fbcd25d2d4e81b6ea6', '65e255fbcd25d2d4e81b6ea5', '65e255fbcd25d2d4e81b6e9e', '65e255fbcd25d2d4e81b6ea0', '65e255fbcd25d2d4e81b6e9f', '65e255fbcd25d2d4e81b6ea3', '65e255fbcd25d2d4e81b6e9d', '65e255fbcd25d2d4e81b6ea4', '65e255fbcd25d2d4e81b6ea2', '65e255fbcd25d2d4e81b6ea1']",rank_rand.txt,Employer is a large multinational in a European capital.,initials,False
